Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Apis mellifera,Bee,0,3,0,3,0,9,0,36,0,0,3,18,0,0,0,1,0,84,0,0,22,72,0,9,0,0,0,1,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Bombus terrestris,Bee,0,1,0,0,0,3,0,3,0,0,3,0,0,0,0,-0,0,1,0,0,4,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Bombylius sp.,Non-syrphids-diptera,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Bombylius torquatus,Non-syrphids-diptera,0,2,0,1,0,8,0,13,0,0,3,8,0,0,0,0,0,11,0,0,6,13,0,25,15,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Colletes nigricans,Bee,0,1,0,0,0,5,0,10,0,0,2,0,0,0,0,-0,0,10,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Dasypoda crassicornis,Bee,0,1,0,0,0,5,0,10,0,0,2,0,0,0,0,-0,0,10,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Heliotaurus ruficollis,Coleoptera,0,2,0,1,0,12,0,39,0,0,4,10,0,1,0,0,0,85,0,0,26,29,0,10,16,0,0,0,10,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Lasioglossum bimaculatus,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Lasioglossum imminutus,Bee,0,2,0,1,0,12,0,39,0,0,4,10,0,1,0,0,0,85,0,0,26,29,0,10,16,0,0,0,10,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Merodon sp.,Syrphids,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Musca sp.,Non-syrphids-diptera,0,2,0,1,0,14,0,46,0,0,5,14,0,0,0,0,0,94,0,0,34,46,0,7,45,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Panurgus sp.,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Psilothrix viridicoerulea,Coleoptera,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Xylocopa violacea,Bee,0,1,0,0,0,9,0,36,0,0,5,0,0,0,0,-0,0,84,0,0,38,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Cistus ladanifer,3,4,0,3,0,6,0,4,0,21,7,0,0,1,0,0,0,1,0,66,5,0,0,47,0,0,8,2,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Cistus salviifolius,3,10,0,5,0,45,0,120,0,9,43,0,0,1,0,1,0,210,0,12,164,0,0,77,0,0,2,8,0,0,0,0,0,9,0,0,3,8,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Erica scoparia,1,1,0,2,0,0,0,-0,0,9,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Erica umbellata,2,1,0,2,0,0,0,-0,0,9,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Rosmarinus officinalis,5,6,0,2,0,15,0,20,0,12,10,0,0,0,0,0,0,15,0,39,20,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Andrena hispania,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Andrena sp.,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Apis mellifera,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Bombus terrestris,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Bombylius sp.,Non-syrphids-diptera,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Bombylius torquatus,Non-syrphids-diptera,0,1,0,0,0,2,0,1,0,0,4,0,0,0,0,-0,0,0,0,0,2,0,0,26,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Colletes nigricans,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Dasypoda crassicornis,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Heliotaurus ruficollis,Coleoptera,0,2,0,1,0,13,0,78,0,0,5,13,0,0,0,0,0,286,0,0,56,78,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Lasioglossum bimaculatus,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Lasioglossum imminutus,Bee,0,3,0,3,0,15,0,79,0,0,4,28,0,1,0,1,0,286,0,0,35,145,0,4,12,0,0,1,13,0,0,0,0,0,13,0,0,6,0,0,1,1,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Merodon sp.,Syrphids,0,3,0,3,0,17,0,80,0,0,3,30,0,2,0,1,0,286,0,0,25,134,0,0,28,0,0,0,26,0,0,0,0,0,13,0,0,4,0,0,1,2,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Musca sp.,Non-syrphids-diptera,0,1,0,0,0,2,0,1,0,0,3,0,0,0,0,-0,0,0,0,0,1,0,0,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Panurgus sp.,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Psilothrix viridicoerulea,Coleoptera,0,2,0,1,0,15,0,79,0,0,5,13,0,1,0,0,0,286,0,0,47,66,0,4,12,0,0,1,13,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Xylocopa violacea,Bee,0,1,0,0,0,13,0,78,0,0,6,0,0,0,0,-0,0,286,0,0,68,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Cistus ladanifer,3,3,0,3,0,3,0,1,0,26,4,0,0,1,0,1,0,0,0,133,1,0,0,28,0,0,12,1,0,0,0,0,12,1,0,0,6,0,0,1,1,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Cistus salviifolius,3,14,0,6,0,91,0,364,0,4,74,0,0,2,0,2,0,1001,0,0,420,0,0,48,0,0,2,24,0,0,0,0,3,23,0,0,0,8,0,0,3,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Erica scoparia,1,1,0,1,0,0,0,-0,0,13,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Erica umbellata,2,1,0,2,0,0,0,-0,0,15,0,0,0,0,0,1,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,1,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 460,Rosmarinus officinalis,5,3,0,4,0,3,0,1,0,26,6,0,0,1,0,2,0,0,0,133,2,0,0,28,0,0,12,1,0,0,0,0,24,2,0,0,3,1,0,1,2,0,0,0,0,0,0
