"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Melochia pyramidata","Hermaphrodite","self_compatible","medium",1.64464233863117,"Tube","actinomorphic",-0.230643580958202,-0.160285334813111,-0.594306949465497,-0.50039196308199,-0.254725153671282,-0.377236007804687,-0.124170503525672,"herb","Perennial",-0.401631995966,1
"Melochia villosa","Hermaphrodite","partially_self_compatible","low",-0.223747462865463,"Open","actinomorphic",-0.226645000647543,-0.162706834091806,-0.482821560828834,-0.432057993994489,-0.185124913641326,-0.0585122099227223,-0.12200031595523,"herb","Perennial",-0.246194034534824,2
"Memecylon ovatifolium","Hermaphrodite","self_compatible","low",-0.138111677184996,"Open","actinomorphic",-0.119354903343339,-0.131227343468773,-0.705792338102161,-0.558963936585562,-0.495594184354952,-0.662988378319551,-0.121380262363676,"shrub","Perennial",-0.260324758301294,2
"Menodora decemfida","Hermaphrodite","partially_self_compatible","low",-0.274792661702831,"Campanulate","actinomorphic",-0.199226164231591,-0.155442336255722,-0.605455488329164,-0.0513401662212705,-0.283725253683763,0.655868716364439,-0.122620369546785,"shrub","Perennial",-0.429893443498942,2
"Mentha aquatica","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","zygomorphic",-0.222075194578218,-0.094904854288351,-0.482821560828834,-0.637059901256991,-0.341725453708727,0.271202063748275,-0.125100583913004,"herb","Perennial",-0.330978377133647,3
"Mentha arvensis","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","zygomorphic",-0.22436009761288,-0.107012350681825,-0.259850783555507,-0.593130921129312,-0.312725353696245,-0.0310360204501392,-0.125100583913004,"herb","Perennial",-0.429893443498942,1
"Mentha canadensis","Hermaphrodite","self_compatible","low",-0.101728827086637,"Tube","zygomorphic",-0.216362936991561,-0.0827973578948769,-0.594306949465497,-0.593130921129312,-0.312725353696245,-0.0310360204501392,-0.125100583913004,"herb","Perennial",-0.429893443498942,5
"Mentha pulegium","Hermaphrodite","self_compatible","low",-0.14129019544891,"Tube","zygomorphic",-0.199226164231591,-0.094904854288351,-0.259850783555507,-0.637059901256991,-0.283725253683763,-0.0585122099227223,-0.125100583913004,"herb","Perennial",-0.500547062331295,5
"Mentzelia albescens","Hermaphrodite","self_compatible","low",0.0561902107197414,"Campanulate","actinomorphic",-0.231214806716868,-0.155442336255722,-0.762649886306859,-0.395450510554756,-0.536026123792354,-0.0310360204501392,-0.125100583913004,"herb","Short lived",-0.429893443498942,5
"Mertensia virginica","Hermaphrodite","self_compatible","low",-0.276580539066535,"Funnelform","actinomorphic",-0.231786032475534,-0.131227343468773,2.41579854372442,0.265924690256412,1.10827954691536,-0.448674100433403,-0.125100583913004,"herb","Perennial",-0.429893443498942,2
"Miconia ciliata","Hermaphrodite","self_incompatible","low",-0.712461093035608,"Open","actinomorphic",-0.224931323371546,0.0140626132529162,0.186090770991147,-0.515034956457883,-0.515726053783617,-0.580559809901802,-0.0628534038568294,"shrub","Perennial",0.559257220154,2
"Miconia robinsoniana","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","zygomorphic",-0.210650679404904,-0.0222598759275062,1.30094465735778,-0.124555133100736,-0.515726053783617,-0.278321725703387,0.039833671440541,"shrub","Perennial",0.417949982489294,3
"Miconia stephananthera","Hermaphrodite","self_compatible","low",-0.178896709290503,"Open","actinomorphic",-0.210650679404904,0.31675002308977,0.632032325537801,-0.705393870344492,-0.567926233806084,-0.168416967813055,0.039833671440541,"shrub","Perennial",-0.14727896816953,2
"Micranthes nivalis","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.232357258234199,-0.143334839862248,-0.482821560828834,-0.441819989578418,-0.509926033781121,-0.608035999374385,-0.0345727595460205,"herb","Perennial",-0.552830740267236,1
"Microseris lanceolata","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Capitulum","actinomorphic",-0.232928483992865,-0.165128333370501,-0.538564255147165,0.0950897675376597,-0.341725453708727,-0.168416967813055,-0.115179726448129,"herb","Perennial",-0.514677786097765,3
"Microtea scabrida","Hermaphrodite","self_compatible","low",-0.0279481062734116,"Open","actinomorphic",-0.210650679404904,-0.119119847075299,-0.705792338102161,-0.710274868136456,-0.57372625380858,-0.706950281475684,-0.126960744687668,"vine","Perennial",-0.359239824666589,2
"Microula sikkimensis","Hermaphrodite","self_compatible","low",0.00453255345481962,"Tube","actinomorphic",-0.230072355199537,-0.155442336255722,-0.527415716283499,-0.466224978538239,-0.283725253683763,-0.38822648359372,-0.125100583913004,"herb","Short lived",-0.470872542421706,5
"Mikania psilostachya","Hermaphrodite","self_compatible","low",-0.230292466174127,"Capitulum","actinomorphic",3.19385484224238,1.04319980669822,1.30094465735778,-0.61265491229717,-0.260525173673778,0.0623830237566434,-0.124480530321449,"vine","Perennial",0.823070767512123,2
"Mimosa camporum","Hermaphrodite","self_compatible","low",-0.43163872246861,"Brush","actinomorphic",-0.176377133884965,-0.0464748687144545,0.186090770991147,1.68141404992607,1.05607936689289,0.106344926912776,-0.123550449934117,"herb","Short lived",-0.472285614798353,5
